rel_dis,rel_speed
-0.40049762,-0.04567659
-0.4077348,-0.04434365
-0.4146595,-0.04115117
-0.4211734,-0.03983307
-0.4274192,-0.03744304
-0.43326807,-0.03478032
-0.43852216,-0.02895337
-0.4430673,-0.02731496
-0.44726217,-0.02402413
-0.4507705,-0.01773214
-0.45332968,-0.01252079
-0.45512223,-0.00856888
-0.4563988,-0.00679731
-0.45720726,-0.00156486
-0.45733202,0.00079083
