StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[33, 30]",[111],[118],"[32, 30]",[False],[0],"[0.009433100000000036, 0.0007985499999999916]",[0.004771799999999956],[0.008407039642334049],"[0.005141200000000012, 0.000429300000000004]",[0.0],1,0.3333333333333333
"[32, 30]",[120],[119],"[31, 29]",[False],[0],"[0.005141200000000012, 0.000429300000000004]",[0.0012097800000000908],[0.0034676170349120846],"[0.0006748999999999696, 0.007899020000000008]",[0.0],1,1.0
"[31, 29]",[112],[119],"[29, 29]",[False],[0],"[0.0006748999999999696, 0.007899020000000008]",[0.006388310000000036],[0.0047870254516601315],"[0.005903600000000038, 0.007239320000000023]",[0.0],1,0.3333333333333333
"[29, 29]",[131],[120],"[28, 29]",[False],[0],"[0.005903600000000038, 0.007239320000000023]",[0.008922569999999989],[0.005733108520507832],"[0.0007699700000000295, 0.001766300000000028]",[0.0],1,0.3333333333333333
"[28, 29]",[117],[120],"[26, 28]",[False],[0],"[0.0007699700000000295, 0.001766300000000028]",[0.008595040000000014],[0.009662914276123022],"[0.004947800000000061, 0.009801369999999997]",[0.0],1,0.5
"[26, 28]",[131],[122],"[24, 28]",[False],[0],"[0.004947800000000061, 0.009801369999999997]",[0.00013159000000009628],[0.00016944885253894829],"[0.008635800000000068, 0.00454812000000001]",[0.0],1,1.0
"[19, 26]",[145],[128],"[17, 25]",[False],[0],"[0.003478800000000058, 0.003217460000000009]",[0.0024419400000001232],[0.0004528236389160778],"[0.002723700000000032, 0.004406400000000027]",[0.0],1,0.5
"[17, 25]",[160],[130],"[15, 24]",[False],[0],"[0.002723700000000032, 0.004406400000000027]",[0.0028852700000002174],[0.005597019195556569],"[0.00035816000000001534, 0.001834299999999997]",[0.0],1,1.0
"[15, 24]",[152],[132],"[12, 23]",[False],[0],"[0.00035816000000001534, 0.001834299999999997]",[0.007947679999999999],[0.006994419097900363],"[0.006080999999999996, 0.001135620000000009]",[0.0],1,0.5
"[12, 23]",[149],[134],"[10, 22]",[False],[0],"[0.006080999999999996, 0.001135620000000009]",[0.0072238799999999204],[0.006855640411376925],"[0.00013309999999997282, 0.0012050100000000029]",[0.0],1,1.0
"[10, 22]",[146],[136],"[7, 21]",[False],[0],"[0.00013309999999997282, 0.0012050100000000029]",[0.009662430000000045],[0.005338706970214727],"[0.0026330499999999753, 0.001963430000000004]",[0.0],1,0.5
"[7, 21]",[163],[139],"[4, 19]",[False],[0],"[0.0026330499999999753, 0.001963430000000004]",[0.0002627100000001919],[0.0018519020080566117],"[0.0034400999999999807, 0.008706879999999998]",[0.0],1,1.0
"[4, 19]",[159],[141],"[1, 18]",[False],[0],"[0.0034400999999999807, 0.008706879999999998]",[0.009155150000000048],[0.006809654235839903],"[0.0021677000000000033, 0.006228050000000002]",[0.0],1,1.0
"[1, 18]",[153],[132],"[0, 19]",[True],[1],"[0.0058703800000000726, 0.0061964899999999885]",[0.009620205000000043],[0.0025066184997560095],"[0.0, 0.0029448700000000144]",[0.0],2,1.0
"[35, 30]",[108],[116],"[34, 30]",[False],[0],"[0.009106600000000046, 0.003966769999999991]",[0.001230000000000113],[0.0012538337707518402],"[0.005366300000000008, 0.004435979999999989]",[0.0],1,0.14285714285714285
"[34, 30]",[119],[116],"[33, 30]",[False],[0],"[0.005366300000000008, 0.004435979999999989]",[0.0007236300000001191],[0.005790081024169898],"[0.0015551500000000138, 0.0021679099999999778]",[0.0],1,1.0
"[33, 30]",[109],[116],"[31, 30]",[False],[0],"[0.0015551500000000138, 0.0021679099999999778]",[0.009869970000000063],[0.005783500671386783],"[0.007502159999999971, 0.0021711900000000277]",[0.0],1,0.3333333333333333
"[31, 30]",[121],[117],"[30, 29]",[False],[0],"[0.007502159999999971, 0.0021711900000000277]",[0.008736010000000178],[0.0017203140258789263],"[0.0032911999999999768, 0.009202750000000011]",[0.0],1,1.0
"[30, 29]",[116],[117],"[28, 29]",[False],[0],"[0.0032911999999999768, 0.009202750000000011]",[0.009705850000000134],[0.005205612182617074],"[0.008670740000000031, 0.007460090000000004]",[0.0],1,0.5
"[28, 29]",[124],[118],"[27, 29]",[False],[0],"[0.008670740000000031, 0.007460090000000004]",[0.009994739999999967],[0.0027054023742675536],"[0.0036644000000000242, 0.00371025]",[0.0],1,0.5
"[27, 29]",[134],[119],"[25, 28]",[False],[0],"[0.0036644000000000242, 0.00371025]",[0.004018169999999984],[0.004906234741210913],"[0.00793270000000001, 0.007609830000000005]",[0.0],1,0.3333333333333333
"[25, 28]",[140],[121],"[24, 27]",[False],[0],"[0.00793270000000001, 0.007609830000000005]",[0.007100910000000009],[0.00026134490966794356],"[0.0011407500000000098, 0.009932269999999977]",[0.0],1,1.0
"[24, 27]",[124],[121],"[22, 27]",[False],[0],"[0.0011407500000000098, 0.009932269999999977]",[0.005626540000000145],[0.007542648315429662],"[0.00333577000000004, 0.00629162000000001]",[0.0],1,0.5
"[22, 27]",[133],[122],"[20, 27]",[False],[0],"[0.00333577000000004, 0.00629162000000001]",[0.0023761499999999536],[0.009161453247070243],"[0.004832600000000027, 0.00048220000000000034]",[0.0],1,0.5
"[20, 27]",[151],[125],"[18, 26]",[False],[0],"[0.004832600000000027, 0.00048220000000000034]",[0.006805539999999976],[1.716613769549638e-06],"[0.005154000000000037, 6.205000000003916e-05]",[0.0],1,1.0
"[18, 26]",[148],[126],"[16, 25]",[False],[0],"[0.005154000000000037, 6.205000000003916e-05]",[0.0009687700000000146],[0.00905012130737302],"[0.0038559299999999797, 0.0005378300000000117]",[0.0],1,1.0
"[16, 25]",[145],[128],"[14, 24]",[False],[0],"[0.0038559299999999797, 0.0005378300000000117]",[0.006210160000000112],[0.006860656738281179],"[0.0010670499999999687, 0.001632599999999998]",[0.0],1,1.0
"[14, 24]",[161],[131],"[11, 22]",[False],[0],"[0.0010670499999999687, 0.001632599999999998]",[0.003409320000000113],[0.0025311851501464127],"[0.006643750000000044, 0.008797390000000013]",[0.0],1,1.0
"[11, 22]",[161],[133],"[9, 21]",[False],[0],"[0.006643750000000044, 0.008797390000000013]",[0.007287130000000206],[0.008395500183105352],"[0.00016160000000006204, 0.005865150000000001]",[0.0],1,0.5
"[9, 21]",[146],[135],"[6, 20]",[False],[0],"[0.00016160000000006204, 0.005865150000000001]",[0.0027596600000000977],[0.00653352737426755],"[0.0018163600000000134, 0.00679618000000002]",[0.0],1,1.0
"[6, 20]",[158],[138],"[3, 19]",[False],[0],"[0.0018163600000000134, 0.00679618000000002]",[0.005906630000000173],[0.0008288574218749713],"[0.0018558500000000182, 0.004648520000000015]",[0.0],1,1.0
"[3, 19]",[150],[140],"[0, 18]",[False],[0],"[0.0018558500000000182, 0.004648520000000015]",[0.009751540000000083],[0.0013163566589354733],"[5.3300000000033876e-05, 0.004404750000000002]",[0.0],1,1.0
"[0, 18]",[163],[121],"[0, 20]",[True],[1],"[5.3300000000033876e-05, 0.004404750000000002]",[0.0002627100000001919],[0.00551198959350579],"[0.0, 0.007054390000000001]",[0.0],1,1.0
"[38, 30]",[126],[117],"[36, 29]",[False],[0],"[0.0027105000000000566, 0.0030521999999999876]",[0.0017973900000001035],[0.0064261245727538375],"[0.008583100000000045, 0.009007249999999996]",[0.0],1,0.14285714285714285
