State,Act,Reward,NextState,Done,Cost,Weight,Probability
"[-0.23834532, 0.10981511999999999]",[-0.12827397],[0.9326028823852538],"[-0.22060388, 0.11302197000000001]",False,[0.0],1,0.2
"[-0.22060388, 0.11302197000000001]",[-0.33567252],[0.915819263458252],"[-0.20207285999999997, 0.12141383]",False,[0.0],1,1.0
"[-0.20207285999999997, 0.12141383]",[-0.20433305],[0.9056025505065919],"[-0.18237412000000003, 0.12652206]",False,[0.0],1,1.0
"[-0.18237412000000003, 0.12652206]",[-0.14973129],[0.8981160163879395],"[-0.16193098000000003, 0.13026547]",False,[0.0],1,1.0
"[-0.16193098000000003, 0.13026547]",[-0.28709833],[0.8837611198425294],"[-0.1407057, 0.13744283000000002]",False,[0.0],1,1.0
"[-0.1407057, 0.13744283000000002]",[-0.18361945],[0.8745800971984864],"[-0.11847001, 0.14203334]",False,[0.0],1,1.0
"[-0.11847001, 0.14203334]",[-0.17235188],[0.8659625053405762],"[-0.09551489000000005, 0.14634204]",False,[0.0],1,0.5
"[-0.09551489000000005, 0.14634204]",[-0.17864945],[0.8570301055908205],"[-0.07186197999999999, 0.15080833]",False,[0.0],1,1.0
"[-0.073608485, 0.17948591500000002]",[0.11981599500000009],[0.8106084585189821],"[-0.045050505, 0.17649049000000003]",False,[0.0],2,0.3333333333333333
"[-0.04733223000000001, 0.15831614]",[-0.39310143],[0.8223593711853028],"[-0.021477519999999986, 0.16814363000000002]",False,[0.0],1,0.25
"[-0.42155819562500013, -0.03431991625]",[-0.32536640125],[1.199287973344326],"[-0.42661552750000015, -0.026185738125]",False,[0.0],7,0.22580645161290322
"[-0.42707476500000013, -0.026774705000000003]",[-0.3736622],[1.1781119346618654],"[-0.43086051999999997, -0.017433105000000004]",False,[0.0],2,0.06896551724137931
"[-0.433221463125, -0.014928535000000008]",[-0.3882461103125],[1.1328797578811642],"[-0.435092338125, -0.005222421249999998]",False,[0.0],6,0.3157894736842105
"[-0.43474339399414064, -0.006830416914062498]",[-0.5161184453125001],[1.1174704352859408],"[-0.4351480941015625, 0.00607260478027344]",False,[0.0],12,0.5217391304347826
